"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"SW2,SW3,SW7,SW5,SW8,SW4,SW9,SW1,SW6";"SW_PUSH_6mm_H4.3mm";9;"SW_Push";;;
2;"J1";"JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical";1;"Conn_01x04";;;
3;"A1";"Arduino_UNO_R3";1;"Arduino_UNO_R3";;;
